1701	1	-4.2
1701	2	-1.5
1701	3	1.6
1701	6	15.4
1701	7	18.9
1701	8	15.8
1701	12	-0.5
1702	1	2
1702	2	-0.5
1702	3	0.6
1702	4	2.6
1702	5	10.9
1702	6	16
1702	7	16
1702	8	15.8
1702	9	10.1
1702	10	7.5
1702	11	0.2
1702	12	0.6
1703	1	-2.8
1703	2	-0.9
1703	3	0.6
1703	4	7.7
1703	5	14.1
1703	6	16.1
1703	7	15.4
1703	8	16.3
1703	9	11.4
1703	10	6.1
1703	11	2.2
1703	12	2.5
1704	1	-4.9
1704	2	-0.5
1704	3	3.9
1704	4	9.4
1704	5	11.8
1704	6	14.1
1704	7	17.1
1704	12	-0.9
1705	1	-7.1
1705	3	1
1705	6	16
1705	7	18.3
1705	8	17.8
1705	9	8.7
1705	10	7.5
1705	11	0.7
1705	12	1.8
1706	1	-1.45
1706	2	0.2
1706	3	2.95
1706	4	7.5
1706	5	13.1
1706	6	17.2
1706	7	16.95
1706	8	16.1
1706	9	12.6
1706	10	9.6
1706	11	2.9
1706	12	2.05
1707	1	-0.8
1707	2	2.95
1707	3	2.65
1707	4	6.45
1707	5	11.45
1707	6	17
1707	7	17.65
1707	8	15.45
1707	9	13.15
1707	10	6.7
1707	11	4.05
1707	12	1.25
1708	1	2.65
1708	2	1.2
1708	3	4.9
1708	4	7.8
1708	5	11.45
1708	6	14.25
1708	7	13.75
1708	8	17.8
1708	9	14.35
1708	10	5.3
1708	11	2.7
1708	12	-2.1
1709	1	-9.15
1709	2	-3.6
1709	3	0.65
1709	4	9.45
1709	5	10.9
1709	6	16.65
1709	7	15.95
1709	8	15.8
1709	9	12.6
1709	10	8.8
1709	11	5.35
1709	12	1.55
1710	1	-1.3
1710	2	0.05
1710	3	4.35
1710	4	7
1710	5	13.1
1710	6	15
1710	7	15.2
1710	8	16.1
1710	9	14.7
1710	10	10.8
1710	11	7
1710	12	5.5
1711	1	3.2
1711	2	0.6
1711	3	5
1711	4	9.8
1711	5	12.7
1711	6	16.8
1711	7	16
1711	8	15.4
1711	9	14.2
1711	10	10.6
1711	11	6
1711	12	3.4
1712	1	-0.1
1712	2	3.6
1712	3	4.4
1712	4	8.8
1712	5	12.8
1712	6	16.2
1712	7	16.7
1712	8	16
1712	9	14
1712	10	10.9
1712	11	6.7
1712	12	2.7
1713	1	-0.9
1713	2	5.6
1713	3	4.3
1713	4	6.4
1713	5	11.6
1713	6	13.4
1713	7	15
1713	8	16.6
1713	9	14.9
1713	10	10.6
1713	11	5.2
1713	12	2.8
1714	1	1.3
1714	2	4.4
1714	3	5.3
1714	4	9
1714	5	10.8
1714	6	14.4
1714	7	18.5
1714	8	16.1
1714	9	13
1714	10	11
1714	11	6.3
1714	12	2.7
1715	1	0.2
1715	2	4.2
1715	3	6.1
1715	4	10.7
1715	5	12.1
1715	6	14.5
1715	7	15.6
1715	8	14.8
1715	9	14.1
1715	10	11.8
1715	11	7.9
1715	12	-1.2
1716	1	-5.7
1716	2	2.2
1716	3	3.9
1716	4	10.2
1716	5	11.8
1716	6	14.1
1716	7	16.4
1716	8	16.8
1716	9	13.4
1716	10	9.6
1716	11	5.2
1716	12	1.5
1717	1	1.2
1717	2	1.4
1717	3	3.7
1717	4	8.2
1717	5	10.7
1717	6	15.2
1717	7	16
1717	8	16.5
1717	9	14.2
1717	10	10
1717	11	5.2
1717	12	3.8
1718	1	-1.4
1718	2	-0.2
1718	3	4.9
1718	4	9.4
1718	5	13
1718	6	16
1718	7	16.2
1718	8	20.2
1718	9	16
1718	10	10.2
1718	11	6.9
1718	12	3.7
1719	1	0.5
1719	2	3.1
1719	3	3.9
1719	4	6.7
1719	5	14
1719	6	17.7
1719	7	18.6
1719	8	18.3
1719	9	13.2
1719	10	9.4
1719	11	6.7
1719	12	0.8
1720	1	2.3
1720	2	3.5
1720	3	3.4
1720	4	7.9
1720	5	12.8
1720	6	12.5
1720	7	17.2
1720	8	15.7
1720	9	12.4
1720	10	9.4
1720	11	5.4
1720	12	3.9
1721	1	3
1721	2	0.8
1721	3	1.1
1721	4	10
1721	5	10.7
1721	6	15.2
1721	7	17.1
1721	8	17.7
1721	9	15.2
1721	10	9.9
1721	11	7.3
1721	12	2.2
1722	1	0.3
1722	2	4.5
1722	3	5.8
1722	4	9.6
1722	5	12
1722	6	15
1722	7	17.7
1722	8	16.7
1722	9	15.6
1722	10	11.5
1722	11	7.5
1722	12	3.7
1723	1	-0.3
1723	2	3.2
1723	3	6.7
1723	4	9.4
1723	5	12.9
1723	6	15.5
1723	7	15.4
1723	8	17.1
1723	9	14.8
1723	10	12.3
1723	11	8.4
1723	12	5
1724	1	4.2
1724	2	4.2
1724	3	4.1
1724	4	7.8
1724	5	12.3
1724	6	16.6
1724	7	16.9
1724	8	18.1
1724	9	15.1
1724	10	9.7
1724	11	3.9
1724	12	2.1
1725	1	1.7
1725	2	0.9
1725	3	3.7
1725	4	8.2
1725	5	10.2
1725	6	11.2
1725	7	14.7
1725	8	13.5
1725	9	12.6
1725	10	9.3
1725	11	6.6
1725	12	2.3
1726	1	-2.4
1726	2	0.8
1726	3	2.8
1726	4	9
1726	5	14.6
1726	6	16.1
1726	7	17.4
1726	8	15.5
1726	9	15.1
1726	10	10.5
1726	11	4.8
1726	12	0.4
1727	1	2
1727	2	3.2
1727	3	3.6
1727	4	7
1727	5	15.1
1727	6	15.3
1727	7	16.7
1727	8	17.5
1727	9	14.8
1727	10	11.1
1727	11	4.6
1727	12	1.8
1728	1	2.3
1728	2	-0.1
1728	3	6.6
1728	4	8.8
1728	5	14.05
1728	6	16.75
1728	7	17.3
1728	8	15.9
1728	9	13.7
1728	10	9.35
1728	11	4.85
1728	12	0.05
1729	1	-3.3
1729	2	0.15
1729	3	0.35
1729	4	6.3
1729	5	11.2
1729	6	16.3
1729	7	17.4
1729	8	17.3
1729	9	16.4
1729	10	11.3
1729	11	6.6
1729	12	4.8
1730	1	2
1730	2	2.1
1730	3	4.45
1730	4	9.1
1730	5	12.9
1730	6	15.2
1730	7	17.05
1730	8	17
1730	9	14.05
1730	10	6.85
1730	11	7.25
1730	12	2.05
1731	1	-0.75
1731	2	-0.6
1731	3	3.35
1731	4	6.5
1731	5	11.8
1731	6	15.2
1731	7	16.35
1731	8	16.65
1731	9	14.55
1731	10	11.75
1731	11	6.05
1731	12	2.85
1732	1	-0.85
1732	2	3.1
1732	3	5.2
1732	4	9.7
1732	5	12.9
1732	6	14.25
1732	7	16
1732	8	16.15
1732	9	13.95
1732	10	10.25
1732	11	4.55
1732	12	-1.25
1733	1	4
1733	2	4.25
1733	3	5.05
1733	4	10.45
1733	5	11.3
1733	6	13.9
1733	7	18.25
1733	8	16.45
1733	9	12.3
1733	10	8.5
1733	11	5.35
1733	12	5.25
1734	1	1.3
1734	2	4.45
1734	3	6.35
