1867	9	11.3222222222222
1867	10	13.7666666666667
1867	11	15.4222222222222
1867	12	17.8111111111111
1868	1	17.8888888888889
1868	2	17.6444444444444
1868	3	16.6666666666667
1868	4	14.2
1868	5	11.76
1868	6	9.25
1868	7	8.3
1868	8	9.15
1868	9	10.98
1868	10	13.34
1868	11	15.33
1868	12	17.0444444444444
1869	1	18.6777777777778
1869	2	18.1444444444444
1869	3	16.6888888888889
1869	4	14.18
1869	5	10.68
1869	6	9.13
1869	7	7.88
1869	8	9.82
1869	9	11.27
1869	10	12.95
1869	11	15.41
1869	12	18.07
1870	1	18.5727272727273
1870	2	18.8272727272727
1870	3	16.4363636363636
1870	4	13.7181818181818
1870	5	11.1454545454545
1870	6	9.68181818181818
1870	7	8.44545454545455
1870	8	8.65454545454545
1870	9	11.0272727272727
1870	10	13.8181818181818
1870	11	15.3454545454545
1870	12	16.4181818181818
1871	1	18.4545454545455
1871	2	17.9545454545455
1871	3	16.4454545454545
1871	4	13.9181818181818
1871	5	11.3818181818182
1871	6	9.2
1871	7	8.65454545454545
1871	8	9.73636363636364
1871	9	10.6
1871	10	12.7727272727273
1871	11	14.5909090909091
1871	12	17.4363636363636
1872	1	19.3727272727273
1872	2	18.4
1872	3	16.9363636363636
1872	4	14.0727272727273
1872	5	11.2545454545455
1872	6	9.15454545454545
1872	7	8.67272727272727
1872	8	8.67272727272727
1872	9	11.5181818181818
1872	10	13.3818181818182
1872	11	16.0727272727273
1872	12	18.0090909090909
1873	1	18.5333333333333
1873	2	18.525
1873	3	16.9583333333333
1873	4	14.3333333333333
1873	5	12.6166666666667
1873	6	10.7083333333333
1873	7	8.4
1873	8	10.4833333333333
1873	9	12.05
1873	10	14.2090909090909
1873	11	15.1545454545455
1873	12	18.2636363636364
1874	1	18.9166666666667
1874	2	18.4666666666667
1874	3	16.7083333333333
1874	4	14.725
1874	5	11.2416666666667
1874	6	8.84545454545455
1874	7	8.7
1874	8	9.95833333333333
1874	9	10.825
1874	10	13.6083333333333
1874	11	15.4666666666667
1874	12	17.6333333333333
1875	1	19.2416666666667
1875	2	18.95
1875	3	17.0833333333333
1875	4	15.025
1875	5	11.375
1875	6	8.96666666666667
1875	7	8.85833333333333
1875	8	9.51666666666667
1875	9	11.35
1875	10	13.5083333333333
1875	11	15.1
1875	12	17.5166666666667
1876	1	18.9818181818182
1876	2	18.85
1876	3	17.73
1876	4	14.9727272727273
1876	5	12.0727272727273
1876	6	9.10909090909091
1876	7	9.12727272727273
1876	8	9.8
1876	9	12.2090909090909
1876	10	14.09
1876	11	15.5
1876	12	18.4090909090909
1877	1	19.8818181818182
1877	2	19.5454545454545
1877	3	17.975
1877	4	14.4666666666667
1877	5	11.3416666666667
1877	6	10.1615384615385
1877	7	9.69166666666667
1877	8	11.0076923076923
1877	9	11.8461538461538
1877	10	14.2923076923077
1877	11	16.2230769230769
1877	12	18.0461538461538
1878	1	18.2071428571429
1878	2	18.1285714285714
1878	3	17.6
1878	4	15.3285714285714
1878	5	11.6
1878	6	9.32857142857143
1878	7	9.15714285714286
1878	8	9.76923076923077
1878	9	12.7857142857143
1878	10	14.1428571428571
1878	11	16.0928571428571
1878	12	17.6928571428571
1879	1	19.76
1879	2	19.0333333333333
1879	3	17.8
1879	4	15.14
1879	5	12.44
1879	6	9.75333333333333
1879	7	9.34666666666667
1879	8	10.4333333333333
1879	9	12.9933333333333
1879	10	14.6928571428571
1879	11	16.56
1879	12	17.9357142857143
1880	1	19.85
1880	2	20.38125
1880	3	18.54375
1880	4	15.95
1880	5	12.84375
1880	6	10.53125
1880	7	9.7125
1880	8	11.5375
1880	9	12.925
1880	10	14.3375
1880	11	17.23125
1880	12	18.925
1881	1	19.5875
1881	2	20.0875
1881	3	18.50625
1881	4	15.68125
1881	5	13.2125
1881	6	9.85625
1881	7	9.35
1881	8	10.70625
1881	9	13.10625
1881	10	14.8875
1881	11	17.0625
1881	12	19.7625
1882	1	20.06
1882	2	19.6625
1882	3	18.6125
1882	4	15.3125
1882	5	12.50625
1882	6	9.61875
1882	7	9.08125
1882	8	10.80625
1882	9	13.275
1882	10	14.99375
1882	11	16.8
1882	12	19
1883	1	19.7533333333333
1883	2	19.6
1883	3	18.0133333333333
1883	4	15.0333333333333
1883	5	12.28
1883	6	10.6785714285714
1883	7	9.22666666666667
1883	8	10.54
1883	9	11.8866666666667
1883	10	14.3266666666667
1883	11	15.8733333333333
1883	12	17.9266666666667
1884	1	18.4066666666667
1884	2	18.84
1884	3	17.5666666666667
1884	4	14.9333333333333
1884	5	11.2866666666667
1884	6	10.0866666666667
1884	7	8.96666666666667
1884	8	11.4933333333333
1884	9	12.6466666666667
1884	10	13.9733333333333
1884	11	16.2214285714286
1884	12	18.2
1885	1	19.3411764705882
1885	2	19.6470588235294
1885	3	17.4166666666667
1885	4	14.8666666666667
1885	5	12.9277777777778
1885	6	10.6833333333333
1885	7	10
1885	8	11.5111111111111
1885	9	13.4111111111111
1885	10	15.3944444444444
1885	11	17.1833333333333
1885	12	18.9888888888889
1886	1	20.1666666666667
1886	2	19.7611111111111
1886	3	18.15
1886	4	16.1470588235294
1886	5	12.9
1886	6	10.1666666666667
1886	7	9.76666666666667
1886	8	10.6777777777778
1886	9	13.4388888888889
